"package","version","declared_licence","technical_review","licence_files","licence_file_sha256","packaged_paths","repository","homepage"
"better-sqlite3","12.9.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:09856B52897C91AB67E7456EF43067019F31DFD3B87FDA72E655736B1EBDEE55","node_modules/better-sqlite3","git://github.com/WiseLibs/better-sqlite3.git","http://github.com/WiseLibs/better-sqlite3"
"bindings","1.5.0","MIT","METADATA_RECORDED","LICENSE.md","LICENSE.md:85FDE19744C84CFACB04AED732C0392BA221231B26090D3271D2ED865BFC0792","node_modules/bindings","git://github.com/TooTallNate/node-bindings.git","https://github.com/TooTallNate/node-bindings"
"bl","4.1.0","MIT","METADATA_RECORDED","LICENSE.md","LICENSE.md:9377DB95383C8BEFACF05C6E465D969D756EDF178487CA1344FDF3BA147C596F","node_modules/bl","https://github.com/rvagg/bl.git","https://github.com/rvagg/bl"
"bluebird","3.7.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:87092FE7FFD1E92EBA5D1DD39B73A73FDB4FDD4DF3474BEACC3D9F6B08ECE82C","node_modules/bluebird","git://github.com/petkaantonov/bluebird.git","https://github.com/petkaantonov/bluebird"
"body-parser","1.20.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:23D466B1B134B415B66FA50C6526B4CF3E7B9258554DA88D3ABB371721E7CE68","node_modules/body-parser","expressjs/body-parser",""
"brace-expansion","2.0.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:68F12F6E2C33688699249C01D8F9623C534DA20AA71989C57B061B7BC1676D14","node_modules/glob/node_modules/brace-expansion | node_modules/typeorm/node_modules/brace-expansion","git://github.com/juliangruber/brace-expansion.git","https://github.com/juliangruber/brace-expansion"
"brace-expansion","2.1.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:68F12F6E2C33688699249C01D8F9623C534DA20AA71989C57B061B7BC1676D14","node_modules/readdir-glob/node_modules/brace-expansion","git://github.com/juliangruber/brace-expansion.git","https://github.com/juliangruber/brace-expansion"
"buffer-crc32","0.2.13","MIT","METADATA_RECORDED","LICENSE","LICENSE:14895B82E3367B66BDB127FE91505F8615491F2A23EB1C0B7D8F7C54BE67F57A","node_modules/buffer-crc32","git://github.com/brianloveswords/buffer-crc32.git","https://github.com/brianloveswords/buffer-crc32"
"buffer-crc32","1.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:DDC9158FA20E427BC12FA8E1E6D07C642ED4D2C618607DF768B30AE2986B3B7C","node_modules/archiver/node_modules/buffer-crc32","git://github.com/brianloveswords/buffer-crc32.git","https://github.com/brianloveswords/buffer-crc32"
"buffer-from","1.1.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:14275F5C8139D02054C5259D52A88CCBBA662A86AF18C30F071C8D082DC6004C","node_modules/buffer-from","LinusU/buffer-from",""
"buffer","5.7.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:06BAFA45FDAD2579BA0E43B0C9B2C6290287C99C4203C300254A462B38A307F6","node_modules/buffer","git://github.com/feross/buffer.git","https://github.com/feross/buffer"
"buffer","6.0.3","MIT","METADATA_RECORDED","LICENSE","LICENSE:06BAFA45FDAD2579BA0E43B0C9B2C6290287C99C4203C300254A462B38A307F6","node_modules/archiver-utils/node_modules/buffer | node_modules/archiver/node_modules/buffer | node_modules/compress-commons/node_modules/buffer | node_modules/crc32-stream/node_modules/buffer | node_modules/typeorm/node_modules/buffer | node_modules/zip-stream/node_modules/buffer","git://github.com/feross/buffer.git","https://github.com/feross/buffer"
"busboy","1.6.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:D06B5D27BBBBE22C36B1FD88406B1208876E2D37D795F5B8EAED951A459A3111","node_modules/busboy","http://github.com/mscdex/busboy.git",""
"bytes","3.1.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:E3B44AF066615DE2EA48D18D852D0762F18C0B2EFCEA714FA48A6F729D405B85","node_modules/bytes","visionmedia/bytes.js",""
"call-bind-apply-helpers","1.0.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:5E325595B4EA8CFEC3802F545B1DEF5D7B73E4A5B8E9BA63E32A320F67732292","node_modules/call-bind-apply-helpers","git+https://github.com/ljharb/call-bind-apply-helpers.git","https://github.com/ljharb/call-bind-apply-helpers#readme"
"call-bind","1.0.8","MIT","METADATA_RECORDED","LICENSE","LICENSE:39C5EC504CF6BD5CD782A7C695828E09189DF79F5D94840E4F08FEB97B9FD416","node_modules/call-bind","git+https://github.com/ljharb/call-bind.git","https://github.com/ljharb/call-bind#readme"
"call-bound","1.0.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:5E325595B4EA8CFEC3802F545B1DEF5D7B73E4A5B8E9BA63E32A320F67732292","node_modules/call-bound","git+https://github.com/ljharb/call-bound.git","https://github.com/ljharb/call-bound#readme"
"callsites","3.1.0","MIT","METADATA_RECORDED","license","license:48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0","node_modules/callsites","sindresorhus/callsites",""
"chalk","4.1.2","MIT","METADATA_RECORDED","license","license:48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0","node_modules/chalk","chalk/chalk",""
"chownr","1.1.4","ISC","METADATA_RECORDED","LICENSE","LICENSE:4EC3D4C66CD87F5C8D8AD911B10F99BF27CB00CDFCFF82621956E379186B016B","node_modules/prebuild-install/node_modules/chownr","git://github.com/isaacs/chownr.git",""
"chromium-bidi","14.0.0","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/chromium-bidi","https://github.com/GoogleChromeLabs/chromium-bidi.git",""
"class-transformer","0.5.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:40FB2182A242493CE32F6211C3400F2DCF6787C9C68CD261BFB61461D69780EF","node_modules/class-transformer","https://github.com/typestack/class-transformer.git",""
"class-validator","0.14.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:EF7C4BC854AD6F0EE0EA4BDAE8DEE790ED65EDD22713D2806D423B8E0727328A","node_modules/class-validator","https://github.com/typestack/class-validator.git",""
"cliui","8.0.1","ISC","METADATA_RECORDED","LICENSE.txt","LICENSE.txt:2DC0465729366C3A7890DFA9E972A1BA7048A26C02116FB8B419A6A1AC110149","node_modules/cliui","yargs/cliui",""
"color-convert","2.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:693866FC419C6F61C8570438EC00659D156EC2B4D4A4D04091711F5F11A365D4","node_modules/color-convert","Qix-/color-convert",""
"color-name","1.1.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:C064F7A3E353BC1BC977F3C897941C75EF763F44F41677E0A15370CA0853D6E2","node_modules/color-name","git@github.com:colorjs/color-name.git","https://github.com/colorjs/color-name"
"compress-commons","6.0.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:79BAD9F51738814F83251AE89460326B2FF2EA19FF5F71AB8F7636B2E17BB231","node_modules/compress-commons","https://github.com/archiverjs/node-compress-commons.git","https://github.com/archiverjs/node-compress-commons"
"concat-stream","2.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:96B29C9AAA611A05349B362D48C2FFCE0966FE408401A2D1A157BE312C035B5F","node_modules/concat-stream","http://github.com/maxogden/concat-stream.git",""
"consola","2.15.3","MIT","METADATA_RECORDED","","","node_modules/consola","nuxt/consola",""
"content-disposition","0.5.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:BD47CE7B88C7759630D1E2B9FCFA170A0F1FDE522BE09E13FB1581A79D090400","node_modules/content-disposition","jshttp/content-disposition",""
"content-type","1.0.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:257AED98914108E91A337912727B6A802EEF218248507F74B76FAFFAFF517A38","node_modules/content-type","jshttp/content-type",""
"cookie-signature","1.0.7","MIT","METADATA_RECORDED","","","node_modules/cookie-signature","https://github.com/visionmedia/node-cookie-signature.git",""
"cookie","0.7.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:C02110EEDC16C7114F1A9BDC026C65626CE1D9C7E27FD51A8E0FEEE8A48A6858","node_modules/cookie","jshttp/cookie",""
"core-util-is","1.0.3","MIT","METADATA_RECORDED","LICENSE","LICENSE:33B734D60042D0FE0C92DD1FC1E874193A1C899EC3E276A2EB935D2D0BF5B710","node_modules/core-util-is","git://github.com/isaacs/core-util-is",""
"cors","2.8.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:1AA9A12863EEFB583779B2CA0E5D73C610B6E6D07529AE0472721769A6EA0A32","node_modules/cors","expressjs/cors",""
"cosmiconfig","9.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:8E714750725E75C8B31172EF84C0805F94873F86E3B5CFCA8A948553F0778FA1","node_modules/puppeteer/node_modules/cosmiconfig","git+https://github.com/cosmiconfig/cosmiconfig.git","https://github.com/cosmiconfig/cosmiconfig#readme"
"crc-32","1.2.2","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C542BA7851B5D39A5FACE477E47A27CB7C00A9759E321B66824E79718BFFE1AC","node_modules/crc-32","git://github.com/SheetJS/js-crc32.git","https://sheetjs.com/"
"crc32-stream","6.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:79BAD9F51738814F83251AE89460326B2FF2EA19FF5F71AB8F7636B2E17BB231","node_modules/crc32-stream","https://github.com/archiverjs/node-crc32-stream.git","https://github.com/archiverjs/node-crc32-stream"
"cron","3.2.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:9EAE0ED8B744DBC5E0077B6854B53CB8D037CCC02156A92A61854043A1B89EAA","node_modules/cron","https://github.com/kelektiv/node-cron.git",""
"cross-spawn","7.0.6","MIT","METADATA_RECORDED","LICENSE","LICENSE:AAA78451B6FECD1B9C4594C796C133C0E90CAD100372FF8BC6DE615E9EF9ADF1","node_modules/cross-spawn","git@github.com:moxystudio/node-cross-spawn.git","https://github.com/moxystudio/node-cross-spawn"
"data-uri-to-buffer","6.0.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:29308C08926E2139CE2C6DC389FC7D6AC801927DF4941C19FA92DE4A8B18DA12","node_modules/data-uri-to-buffer","https://github.com/TooTallNate/proxy-agents.git",""
"dayjs","1.11.20","MIT","METADATA_RECORDED","LICENSE","LICENSE:5FAAB7526D055651BE3AAB769D58897BE6BD91F3D39D137F25F12DBA1B31D5DC","node_modules/dayjs","https://github.com/iamkun/dayjs.git","https://day.js.org"
"debug","2.6.9","MIT","METADATA_RECORDED","LICENSE","LICENSE:98C970DE440DCFC77471610AEC2377C9D9B0DB2B3BE6D1ADD524A586E1D7F422","node_modules/debug","git://github.com/visionmedia/debug.git",""
"debug","4.4.3","MIT","METADATA_RECORDED","LICENSE","LICENSE:3A61C6C96CAF5C1D9B623FB9B04C822B783DFCB78AA7E49C76A3F643E6ED7F95","node_modules/@puppeteer/browsers/node_modules/debug | node_modules/@tokenizer/inflate/node_modules/debug | node_modules/extract-zip/node_modules/debug | node_modules/get-uri/node_modules/debug | node_modules/http-proxy-agent/node_modules/debug | node_modules/pac-proxy-agent/node_modules/debug | node_modules/proxy-agent/node_modules/debug | node_modules/puppeteer-core/node_modules/debug | node_modules/socks-proxy-agent/node_modules/debug | node_modules/typeorm/node_modules/debug","git://github.com/debug-js/debug.git",""
"decompress-response","6.0.0","MIT","METADATA_RECORDED","license","license:5C932D88256B4AB958F64A856FA48E8BD1F55BC1D96B8149C65689E0C61789D3","node_modules/decompress-response","sindresorhus/decompress-response",""
"dedent","1.7.2","MIT","METADATA_RECORDED","LICENSE.md","LICENSE.md:76C9D5F5EA942054715C026F33F8717C9E24603196A3737B8899AFA216BCBDAB","node_modules/dedent","https://github.com/dmnd/dedent","https://github.com/dmnd/dedent"
"deep-extend","0.6.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:E17120AD3DEFF741C2CA5CBE511971CA33971A1BA6E49694C6498309BB2680B9","node_modules/deep-extend","git://github.com/unclechu/node-deep-extend.git","https://github.com/unclechu/node-deep-extend"
"define-data-property","1.1.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:B41D08BC3624D8C436FC80237D73EBB361985A67F4504BBCD703E5CA2B27254C","node_modules/define-data-property","git+https://github.com/ljharb/define-data-property.git","https://github.com/ljharb/define-data-property#readme"
"degenerator","5.0.1","MIT","METADATA_RECORDED","","","node_modules/degenerator","https://github.com/TooTallNate/proxy-agents.git",""
"depd","2.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:BD134B41DA59E452FB5A1D366B660886F741C87C2BF9428E93764C419FBC40F5","node_modules/depd","dougwilson/nodejs-depd",""
"destroy","1.2.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:FFE370C8785B0B688D954977CE8DC52E19E5F17962CC5F80009C85EBA4925D56","node_modules/destroy","stream-utils/destroy",""
"detect-libc","2.1.2","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:B40930BBCF80744C86C46A12BC9DA056641D722716C378F5659B9E555EF833E1","node_modules/detect-libc","git://github.com/lovell/detect-libc.git",""
"devtools-protocol","0.0.1581282","BSD-3-Clause","METADATA_RECORDED","LICENSE","LICENSE:7A209DD1B94CABDB5EA9C6F9164B9546FFA5DAAA671E7767D49510DB055F5C51","node_modules/devtools-protocol","https://github.com/ChromeDevTools/devtools-protocol",""
"dotenv-expand","10.0.0","BSD-2-Clause","METADATA_RECORDED","LICENSE","LICENSE:3726B9470C3A6B54E1EBCC1D802D37089B5A5FC97273B52B2CEE578A4421EC45","node_modules/dotenv-expand","https://github.com/motdotla/dotenv-expand",""
"dotenv","16.4.5","BSD-2-Clause","METADATA_RECORDED","LICENSE","LICENSE:74B629B24865E1E83C5277EE84590B7937644D6FD959D0C7BDCE758676CD2CED","node_modules/dotenv","git://github.com/motdotla/dotenv.git",""
"dotenv","16.6.1","BSD-2-Clause","METADATA_RECORDED","LICENSE","LICENSE:74B629B24865E1E83C5277EE84590B7937644D6FD959D0C7BDCE758676CD2CED","node_modules/typeorm/node_modules/dotenv","git://github.com/motdotla/dotenv.git","https://github.com/motdotla/dotenv#readme"
"dunder-proto","1.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:2B770A704C15DE238C3F622B01B0044DDD60B49EE30608EA6991EBF19DB7A7A1","node_modules/dunder-proto","git+https://github.com/es-shims/dunder-proto.git","https://github.com/es-shims/dunder-proto#readme"
"duplexer2","0.1.4","BSD-3-Clause","METADATA_RECORDED","LICENSE.md","LICENSE.md:252A200BA7A38686F7954EC4CB09B3AD7788FA099EB724DE167D7AB16B1244B9","node_modules/duplexer2","deoxxa/duplexer2",""
"eastasianwidth","0.2.0","MIT","METADATA_RECORDED","","","node_modules/eastasianwidth","git://github.com/komagata/eastasianwidth.git",""
"ee-first","1.1.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:965EF284F7F4C176842EC2E87FA13E79FEED777D56D7A21A5A3B38F1BB6DC288","node_modules/ee-first","jonathanong/ee-first",""
"emoji-regex","8.0.0","MIT","METADATA_RECORDED","LICENSE-MIT.txt","LICENSE-MIT.txt:483ACB265F182907D1CAF6CFF9C16C96F31325ED23792832CC5D8B12D5F88C8A","node_modules/emoji-regex","https://github.com/mathiasbynens/emoji-regex.git","https://mths.be/emoji-regex"
"emoji-regex","9.2.2","MIT","METADATA_RECORDED","LICENSE-MIT.txt","LICENSE-MIT.txt:483ACB265F182907D1CAF6CFF9C16C96F31325ED23792832CC5D8B12D5F88C8A","node_modules/@isaacs/cliui/node_modules/emoji-regex","https://github.com/mathiasbynens/emoji-regex.git","https://mths.be/emoji-regex"
"encodeurl","2.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:7585EA7BBA616CCBBE43CB54ECB67956688C3C5641BB84F3099A652A73193AFE","node_modules/encodeurl","pillarjs/encodeurl",""
"end-of-stream","1.4.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:3FE8D55A98DBF260EACE67C00CF9BC53EDB46234E840098A0B93DF3096B97FB6","node_modules/end-of-stream","git://github.com/mafintosh/end-of-stream.git","https://github.com/mafintosh/end-of-stream"
"env-paths","2.2.1","MIT","METADATA_RECORDED","license","license:48DA2F39E100D4085767E94966B43F4FA95FF6A0698FBA57ED460914E35F94A0","node_modules/env-paths","sindresorhus/env-paths",""
"error-ex","1.3.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:92B07A2E5B0E051D37DDE85042C736D6D551CFCBC0983F39D7EF903B3986BBC1","node_modules/error-ex","qix-/node-error-ex",""
"es-define-property","1.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:5E325595B4EA8CFEC3802F545B1DEF5D7B73E4A5B8E9BA63E32A320F67732292","node_modules/es-define-property","git+https://github.com/ljharb/es-define-property.git","https://github.com/ljharb/es-define-property#readme"
"es-errors","1.3.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:5E325595B4EA8CFEC3802F545B1DEF5D7B73E4A5B8E9BA63E32A320F67732292","node_modules/es-errors","git+https://github.com/ljharb/es-errors.git","https://github.com/ljharb/es-errors#readme"
"es-object-atoms","1.1.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:5E325595B4EA8CFEC3802F545B1DEF5D7B73E4A5B8E9BA63E32A320F67732292","node_modules/es-object-atoms","git+https://github.com/ljharb/es-object-atoms.git","https://github.com/ljharb/es-object-atoms#readme"
"escalade","3.2.0","MIT","METADATA_RECORDED","license","license:9A9EDAD7BAAE52622BDDF3C15B2EF8A33D2C89F2D25408AD13E8A7481C6B0C97","node_modules/escalade","lukeed/escalade",""
"escape-html","1.0.3","MIT","METADATA_RECORDED","LICENSE","LICENSE:255AA557A1F55224CE522F311629C0BF20854740A67955CEFD798FBD1D3D1DED","node_modules/escape-html","component/escape-html",""
"escodegen","2.1.0","BSD-2-Clause","METADATA_RECORDED","LICENSE.BSD","LICENSE.BSD:D5D62471A28A9920416C7D37D387A3BF55F32CB768590F605F84990B76AEE5DE","node_modules/escodegen","http://github.com/estools/escodegen.git","http://github.com/estools/escodegen"
"esprima","4.0.1","BSD-2-Clause","METADATA_RECORDED","LICENSE.BSD","LICENSE.BSD:94BCB9959136723AA4FB36E1A6C4D5C662A2369978CFAE344DABFB83AE619E79","node_modules/esprima","https://github.com/jquery/esprima.git","http://esprima.org"
"estraverse","5.3.0","BSD-2-Clause","METADATA_RECORDED","LICENSE.BSD","LICENSE.BSD:0E74697A68CEBDCD61502C30FE80AB7F9E341D995DCD452023654D57133534B1","node_modules/estraverse","http://github.com/estools/estraverse.git","https://github.com/estools/estraverse"
"esutils","2.0.3","BSD-2-Clause","METADATA_RECORDED","LICENSE.BSD","LICENSE.BSD:0E74697A68CEBDCD61502C30FE80AB7F9E341D995DCD452023654D57133534B1","node_modules/esutils","http://github.com/estools/esutils.git","https://github.com/estools/esutils"
"etag","1.8.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:A7996721249A136FBCFC1C201BCB5F414F38A701D4A24F28ABE65E16CFCCE813","node_modules/etag","jshttp/etag",""
"event-target-shim","5.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:97D87142793695CD73243DE7258694ABE85B3B6060FCA7F247B0A2AFA8219678","node_modules/event-target-shim","https://github.com/mysticatea/event-target-shim.git","https://github.com/mysticatea/event-target-shim"
"events-universal","1.0.1","Apache-2.0","METADATA_RECORDED","LICENSE","LICENSE:C71D239DF91726FC519C6EB72D318EC65820627232B2F796219E87DCF35D0AB4","node_modules/events-universal","git+https://github.com/holepunchto/events-universal.git","https://github.com/holepunchto/events-universal#readme"
"events","3.3.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:631987B7616A325A5B97566C232418481DDF7DBB5ECADEFB991E791876CC2599","node_modules/events","git://github.com/Gozala/events.git",""
"expand-template","2.0.3","(MIT OR WTFPL)","MULTI_OR_SPECIAL_LICENCE_REVIEW","LICENSE","LICENSE:0967624813244BF47DA346449804AF853437433CBDEB8C977F1E0D4BD14E0A3B","node_modules/expand-template","https://github.com/ralphtheninja/expand-template.git","https://github.com/ralphtheninja/expand-template"
"express","4.22.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:95A5762890E5C1C9808921CEF095661FC482C5E1F0BBA31446AC85595DF6237C","node_modules/express","expressjs/express","http://expressjs.com/"
"extract-zip","2.0.1","BSD-2-Clause","METADATA_RECORDED","LICENSE","LICENSE:77B2DE947C65F3062FB347118CA198CA50898EAD84A8509D8153FA65741F029B","node_modules/extract-zip","maxogden/extract-zip",""
"fast-fifo","1.3.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:41A2AA55A9EBAD3DF900CF37FDED512714A127F4300EF54B978F834A11EC4D48","node_modules/fast-fifo","https://github.com/mafintosh/fast-fifo.git","https://github.com/mafintosh/fast-fifo"
"fast-safe-stringify","2.1.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:F0FFE1359BA08038BB99F194C80FBB4F2AAE216E749E97B2CD6B006D1861E27B","node_modules/fast-safe-stringify","git+https://github.com/davidmarkclements/fast-safe-stringify.git","https://github.com/davidmarkclements/fast-safe-stringify#readme"
"fd-slicer","1.1.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:176D95320D565CB034D8323797B6CD6160238F625453687F98AAD2085C46C3B3","node_modules/fd-slicer","git://github.com/andrewrk/node-fd-slicer.git",""
"fflate","0.8.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:805F6CB28BB8B6D3A0BADD83C93BCCD9671FA01A3B4B92B7042B0743325AC243","node_modules/fflate","https://github.com/101arrowz/fflate","https://101arrowz.github.io/fflate"
"file-type","20.4.1","MIT","METADATA_RECORDED","license","license:5C932D88256B4AB958F64A856FA48E8BD1F55BC1D96B8149C65689E0C61789D3","node_modules/file-type","sindresorhus/file-type",""
"file-uri-to-path","1.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:75070206E4EE2A749BE52444CECC05101CA8D314C9D6D335FF914046CBF086A0","node_modules/file-uri-to-path","git://github.com/TooTallNate/file-uri-to-path.git","https://github.com/TooTallNate/file-uri-to-path"
"finalhandler","1.3.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:47DCCCF62BF40469D23849B0B1DC8DF9FC91BCE219B880C638D4DC4596E6B5CF","node_modules/finalhandler","pillarjs/finalhandler",""
"fluent-ffmpeg","2.1.3","MIT","METADATA_RECORDED","LICENSE","LICENSE:1C3854D65BD657271AB7EE776370ADC178A988BCB19C8BF6269DFC358F38C0D4","node_modules/fluent-ffmpeg","git://github.com/fluent-ffmpeg/node-fluent-ffmpeg.git",""
"for-each","0.3.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:D07913D776EEF217A95D7EE3EE83577FC3C365B9C870F5A3411F785B81090614","node_modules/for-each","https://github.com/Raynos/for-each.git","https://github.com/Raynos/for-each"
"foreground-child","3.3.1","ISC","METADATA_RECORDED","LICENSE","LICENSE:93F5D82A8D59442FE3275383453A255FEF761647FB28265644010BA799806148","node_modules/foreground-child","git+https://github.com/tapjs/foreground-child.git",""
"forwarded","0.2.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:BD47CE7B88C7759630D1E2B9FCFA170A0F1FDE522BE09E13FB1581A79D090400","node_modules/forwarded","jshttp/forwarded",""
"fresh","0.5.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:A0EC0DAB16B3666F24950F86D257930AC2AD475557B4BFE245620E0817D8A45D","node_modules/fresh","jshttp/fresh",""
"fs-constants","1.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:2281F2DB407BDBB54F069EEC38128B2DEE2C0C952F52B786EF1FAECB81767B3C","node_modules/fs-constants","https://github.com/mafintosh/fs-constants.git","https://github.com/mafintosh/fs-constants"
"fs-extra","11.3.4","MIT","METADATA_RECORDED","LICENSE","LICENSE:C6A7DE1428955AA5A692F4D3A3D3EDE658D959616944713337CDA296736442E1","node_modules/whatsapp-web.js/node_modules/fs-extra","git+https://github.com/jprichardson/node-fs-extra.git","https://github.com/jprichardson/node-fs-extra"
"fs-extra","11.3.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:C6A7DE1428955AA5A692F4D3A3D3EDE658D959616944713337CDA296736442E1","node_modules/unzipper/node_modules/fs-extra","git+https://github.com/jprichardson/node-fs-extra.git","https://github.com/jprichardson/node-fs-extra"
"function-bind","1.1.2","MIT","METADATA_RECORDED","LICENSE","LICENSE:773E131A7684726005A7E4688A80B4620033BC08499BC1404DD1A1EB3BCA725E","node_modules/function-bind","https://github.com/Raynos/function-bind.git","https://github.com/Raynos/function-bind"
"get-caller-file","2.0.5","ISC","METADATA_RECORDED","LICENSE.md","LICENSE.md:902DBB4154679FB2B8D7C33878183F45B268D01EAE5E5033DDDAA8852D45F213","node_modules/get-caller-file","git+https://github.com/stefanpenner/get-caller-file.git","https://github.com/stefanpenner/get-caller-file#readme"
"get-intrinsic","1.3.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:39C5EC504CF6BD5CD782A7C695828E09189DF79F5D94840E4F08FEB97B9FD416","node_modules/get-intrinsic","git+https://github.com/ljharb/get-intrinsic.git","https://github.com/ljharb/get-intrinsic#readme"
"get-proto","1.0.1","MIT","METADATA_RECORDED","LICENSE","LICENSE:BE46CE1E3B0479AF9CE82D22B465A6D7D2FF084FCA0AAF3D54172DA2B5EB5781","node_modules/get-proto","git+https://github.com/ljharb/get-proto.git","https://github.com/ljharb/get-proto#readme"
"get-stream","5.2.0","MIT","METADATA_RECORDED","license","license:5C932D88256B4AB958F64A856FA48E8BD1F55BC1D96B8149C65689E0C61789D3","node_modules/extract-zip/node_modules/get-stream","sindresorhus/get-stream",""
"get-uri","6.0.5","MIT","METADATA_RECORDED","LICENSE","LICENSE:29308C08926E2139CE2C6DC389FC7D6AC801927DF4941C19FA92DE4A8B18DA12","node_modules/get-uri","https://github.com/TooTallNate/proxy-agents.git",""
"github-from-package","0.0.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:435A6722C786B0A56FBE7387028F1D9D3F3A2D0FB615BB8FEE118727C3F59B7B","node_modules/github-from-package","git://github.com/substack/github-from-package.git","https://github.com/substack/github-from-package"
"glob","10.4.5","ISC","METADATA_RECORDED","LICENSE","LICENSE:CDBC258D13806538E727964C2436A8806E6E2496CCD616224AACE6F7BF98DBC1","node_modules/glob","git://github.com/isaacs/node-glob.git",""
"glob","10.5.0","ISC","METADATA_RECORDED","LICENSE","LICENSE:CDBC258D13806538E727964C2436A8806E6E2496CCD616224AACE6F7BF98DBC1","node_modules/typeorm/node_modules/glob","git://github.com/isaacs/node-glob.git",""
"gopd","1.2.0","MIT","METADATA_RECORDED","LICENSE","LICENSE:D90BF0A089DA4CF43D644ED240A0B3825DCDB705E64E38371D56995A4CC9E4C5","node_modules/gopd","git+https://github.com/ljharb/gopd.git","https://github.com/ljharb/gopd#readme"
